Num	Name	Type1	Type2	Ability1	Ability2	Ability3	Ability4	Base H	Base A	Base B	Base C	Base D	Base S
665	コフーライ	むし	-	だっぴ	フレンドガード	-	-	45	22	60	27	30	29
666	ビビヨン	むし	ひこう	りんぷん	ふくがん	フレンドガード	-	80	52	50	90	50	89
415	ミツハニー	むし	ひこう	みつあつめ	はりきり	-	-	30	30	42	30	42	70
416	ビークイン	むし	ひこう	プレッシャー	きんちょうかん	-	-	70	80	102	80	102	40
821	ココガラ	ひこう	-	するどいめ	きんちょうかん	はとむね	-	38	47	35	33	35	57
822	アオガラス	ひこう	-	するどいめ	きんちょうかん	はとむね	-	68	67	55	43	55	77
823	アーマーガア	ひこう	はがね	プレッシャー	きんちょうかん	ミラーアーマー	-	98	87	105	53	85	67
440	ピンプク	ノーマル	-	しぜんかいふく	てんのめぐみ	フレンドガード	-	100	5	5	15	65	30
113	ラッキー	ノーマル	-	しぜんかいふく	てんのめぐみ	いやしのこころ	-	250	5	5	35	105	50
242	ハピナス	ノーマル	-	しぜんかいふく	てんのめぐみ	いやしのこころ	-	255	10	10	75	135	55
298	ルリリ	ノーマル	フェアリー	あついしぼう	ちからもち	そうしょく	-	50	20	40	20	40	20
183	マリル	みず	フェアリー	あついしぼう	ちからもち	そうしょく	-	70	20	50	20	50	40
184	マリルリ	みず	フェアリー	あついしぼう	ちからもち	そうしょく	-	100	50	80	60	80	50
283	アメタマ	むし	みず	すいすい	あめうけざら	-	-	40	30	32	50	52	65
284	アメモース	むし	ひこう	いかく	きんちょうかん	-	-	70	60	62	100	82	80
418	ブイゼル	みず	-	すいすい	みずのベール	-	-	55	65	35	60	30	85
419	フローゼル	みず	-	すいすい	みずのベール	-	-	85	105	55	85	50	115
194-1	パルデアウパー	どく	じめん	どくのトゲ	ちょすい	てんねん	-	55	45	45	25	25	15
980	ドオー	どく	じめん	どくのトゲ	ちょすい	てんねん	-	130	75	60	45	100	20
54	コダック	みず	-	しめりけ	ノーてんき	すいすい	-	50	52	48	65	50	55
55	ゴルダック	みず	-	しめりけ	ノーてんき	すいすい	-	80	82	78	95	80	85
833	カムカメ	みず	-	がんじょうあご	シェルアーマー	すいすい	-	50	64	50	38	38	44
834	カジリガメ	みず	いわ	がんじょうあご	シェルアーマー	すいすい	-	90	115	90	48	68	74
174	ププリン	ノーマル	フェアリー	メロメロボディ	かちき	フレンドガード	-	90	30	15	40	20	15
39	プリン	ノーマル	フェアリー	メロメロボディ	かちき	フレンドガード	-	115	45	20	45	25	20
40	プクリン	ノーマル	フェアリー	メロメロボディ	かちき	おみとおし	-	140	70	45	85	50	45
280	ラルトス	エスパー	フェアリー	シンクロ	トレース	テレパシー	-	28	25	25	45	35	40
281	キルリア	エスパー	フェアリー	シンクロ	トレース	テレパシー	-	38	35	35	65	55	50
282	サーナイト	エスパー	フェアリー	シンクロ	トレース	テレパシー	-	68	65	65	125	115	80
475	エルレイド	エスパー	かくとう	ふくつのこころ	きれあじ	せいぎのこころ	-	68	125	65	65	115	80
96	スリープ	エスパー	-	ふみん	よちむ	せいしんりょく	-	60	48	45	43	90	42
97	スリーパー	エスパー	-	ふみん	よちむ	せいしんりょく	-	85	73	70	73	115	67
92	ゴース	ゴースト	どく	ふゆう	-	-	-	30	35	30	100	35	80
93	ゴースト	ゴースト	どく	ふゆう	-	-	-	45	50	45	115	55	95
94	ゲンガー	ゴースト	どく	のろわれボディ	-	-	-	60	65	60	130	75	110
924	ワッカネズミ	ノーマル	-	にげあし	ものひろい	マイペース	-	50	50	45	40	45	75
925	イッカネズミ	ノーマル	-	フレンドガード	ほおぶくろ	テクニシャン	-	74	75	70	65	75	111
172	ピチュー	でんき	-	せいでんき	ひらいしん	-	-	20	40	15	35	35	60
25	ピカチュウ	でんき	-	せいでんき	ひらいしん	-	-	35	55	40	50	50	90
26	ライチュウ	でんき	-	せいでんき	ひらいしん	-	-	60	90	55	90	80	110
926	パピモッチ	フェアリー	-	マイペース	ぶきよう	-	-	37	55	70	30	55	65
927	バウッツェル	フェアリー	-	こんがりボディ	アロマベール	-	-	57	80	115	50	80	95
287	ナマケロ	ノーマル	-	なまけ	-	-	-	60	60	60	35	35	30
288	ヤルキモノ	ノーマル	-	やるき	-	-	-	80	80	80	55	55	90
289	ケッキング	ノーマル	-	なまけ	-	-	-	150	160	100	95	65	100
761	アマカジ	くさ	-	リーフガード	どんかん	スイートベール	-	42	30	38	30	38	32
762	アママイコ	くさ	-	リーフガード	どんかん	スイートベール	-	52	40	48	40	48	62
763	アマージョ	くさ	-	リーフガード	じょおうのいげん	スイートベール	-	72	120	98	50	98	72
928	ミニーブ	くさ	ノーマル	はやおき	しゅうかく	-	-	41	35	45	58	51	30
929	オリーニョ	くさ	ノーマル	はやおき	しゅうかく	-	-	52	53	60	78	78	33
930	オリーヴァ	くさ	ノーマル	こぼれダネ	しゅうかく	-	-	78	69	90	125	109	39
438	ウソハチ	いわ	-	がんじょう	いしあたま	びびり	-	50	80	95	10	45	10
185	ウソッキー	いわ	-	がんじょう	いしあたま	びびり	-	70	100	115	30	65	30
744	イワンコ	いわ	-	するどいめ	やるき	ふくつのこころ	マイペース	45	65	40	30	40	60
745	ルガルガン(まひる)	いわ	-	するどいめ	すなかき	ふくつのこころ	-	75	115	65	55	65	112
745-1	ルガルガン(まよなか)	いわ	-	するどいめ	やるき	ノーガード	-	85	115	75	55	75	82
745-2	ルガルガン(たそがれ)	いわ	-	かたいツメ	-	-	-	75	117	65	55	65	110
837	タンドン	いわ	-	じょうききかん	たいねつ	もらいび	-	30	40	50	40	50	30
838	トロッゴン	いわ	ほのお	じょうききかん	ほのおのからだ	もらいび	-	80	60	90	60	70	50
839	セキタンザン	いわ	ほのお	じょうききかん	ほのおのからだ	もらいび	-	110	80	120	80	90	30
403	コリンク	でんき	-	とうそうしん	いかく	こんじょう	-	45	65	34	40	34	45
404	ルクシオ	でんき	-	とうそうしん	いかく	こんじょう	-	60	85	49	60	49	60
405	レントラー	でんき	-	とうそうしん	いかく	こんじょう	-	80	120	79	95	79	70
396	ムックル	ノーマル	ひこう	するどいめ	すてみ	-	-	40	55	30	30	30	60
397	ムクバード	ノーマル	ひこう	いかく	すてみ	-	-	55	75	50	40	40	80
398	ムクホーク	ノーマル	ひこう	いかく	すてみ	-	-	85	120	70	50	60	100
741	オドリドリ(めらめら)	ほのお	ひこう	おどりこ	-	-	-	75	70	70	98	70	93
741-1	オドリドリ(ぱちぱち)	でんき	ひこう	おどりこ	-	-	-	75	70	70	98	70	93
741-2	オドリドリ(ふらふら)	エスパー	ひこう	おどりこ	-	-	-	75	70	70	98	70	93
741-3	オドリドリ(まいまい)	ゴースト	ひこう	おどりこ	-	-	-	75	70	70	98	70	93
179	メリープ	でんき	-	せいでんき	プラス	-	-	55	40	40	65	45	35
180	モココ	でんき	-	せいでんき	プラス	-	-	70	55	55	80	60	45
181	デンリュウ	でんき	-	せいでんき	プラス	-	-	90	75	85	115	90	55
548	チュリネ	くさ	-	ようりょくそ	マイペース	リーフガード	-	45	35	50	70	50	30
549	ドレディア	くさ	-	ようりょくそ	マイペース	リーフガード	-	70	60	75	110	75	90
285	キノココ	くさ	-	ほうし	ポイズンヒール	はやあし	-	60	40	60	40	60	35
286	キノガッサ	くさ	かくとう	ほうし	ポイズンヒール	テクニシャン	-	60	130	80	60	60	70
840	カジッチュ	くさ	ドラゴン	じゅくせい	くいしんぼう	ぼうだん	-	40	40	80	40	40	20
841	アップリュー	くさ	ドラゴン	じゅくせい	くいしんぼう	はりきり	-	70	110	80	95	60	70
842	タルップル	くさ	ドラゴン	じゅくせい	くいしんぼう	あついしぼう	-	110	85	80	100	80	30
325	バネブー	エスパー	-	あついしぼう	マイペース	くいしんぼう	-	60	25	35	70	80	60
326	ブーピッグ	エスパー	-	あついしぼう	マイペース	くいしんぼう	-	80	45	65	90	110	80
931	イキリンコ	ノーマル	ひこう	いかく	はりきり	こんじょう	-	82	96	51	45	51	92
200	ムウマ	ゴースト	-	ふゆう	-	-	-	60	60	60	85	85	85
429	ムウマージ	ゴースト	-	ふゆう	-	-	-	60	60	60	105	105	105
296	マクノシタ	かくとう	-	あついしぼう	こんじょう	ちからずく	-	72	60	30	20	30	25
297	ハリテヤマ	かくとう	-	あついしぼう	こんじょう	ちからずく	-	144	120	60	40	60	50
739	マケンカニ	かくとう	-	かいりきバサミ	てつのこぶし	いかりのつぼ	-	47	82	57	42	47	63
740	ケケンカニ	かくとう	こおり	かいりきバサミ	てつのこぶし	いかりのつぼ	-	97	132	77	62	67	43
757	ヤトウモリ	どく	ほのお	ふしょく	どんかん	-	-	48	44	40	71	40	77
758	エンニュート	どく	ほのお	ふしょく	どんかん	-	-	68	64	60	111	60	117
231	ゴマゾウ	じめん	-	ものひろい	すながくれ	-	-	90	60	60	40	40	40
232	ドンファン	じめん	-	がんじょう	すながくれ	-	-	90	120	120	60	60	50
878	ゾウドウ	はがね	-	ちからずく	ヘヴィメタル	-	-	72	80	49	40	49	40
879	ダイオウドウ	はがね	-	ちからずく	ヘヴィメタル	-	-	122	130	69	80	69	30
443	フカマル	ドラゴン	じめん	すながくれ	さめはだ	-	-	58	70	45	40	45	42
444	ガバイト	ドラゴン	じめん	すながくれ	さめはだ	-	-	68	90	65	50	55	82
445	ガブリアス	ドラゴン	じめん	すながくれ	さめはだ	-	-	108	130	95	80	85	102
932	コジオ	いわ	-	きよめのしお	がんじょう	クリアボディ	-	55	55	75	35	35	25
933	ジオヅム	いわ	-	きよめのしお	がんじょう	クリアボディ	-	60	60	100	35	65	35
934	キョジオーン	いわ	-	きよめのしお	がんじょう	クリアボディ	-	100	100	130	45	90	35
278	キャモメ	みず	ひこう	するどいめ	うるおいボディ	あめうけざら	-	40	30	30	55	30	85
279	ペリッパー	みず	ひこう	するどいめ	あめふらし	あめうけざら	-	60	50	100	95	70	65
129	コイキング	みず	-	すいすい	びびり	-	-	20	10	55	15	20	80
130	ギャラドス	みず	ひこう	いかく	じしんかじょう	-	-	95	125	79	60	100	81
846	サシカマス	みず	-	すいすい	スクリューおびれ	-	-	41	63	40	40	30	66
847	カマスジョー	みず	-	すいすい	スクリューおびれ	-	-	61	123	60	60	50	136
550	バスラオ(あか)	みず	-	すてみ	てきおうりょく	かたやぶり	-	70	92	65	80	55	98
550-1	バスラオ(あお)	みず	-	いしあたま	てきおうりょく	かたやぶり	-	70	92	65	80	55	98
550-2	バスラオ(しろ)	みず	-	びびり	てきおうりょく	かたやぶり	-	70	92	65	80	55	98
316	ゴクリン	どく	-	ヘドロえき	ねんちゃく	くいしんぼう	-	70	43	53	43	53	40
317	マルノーム	どく	-	ヘドロえき	ねんちゃく	くいしんぼう	-	100	73	83	73	83	55
52	ニャース	ノーマル	-	ものひろい	テクニシャン	きんちょうかん	-	40	45	35	40	40	90
53	ペルシアン	ノーマル	-	じゅうなん	テクニシャン	きんちょうかん	-	65	70	60	65	65	115
425	フワンテ	ゴースト	ひこう	ゆうばく	かるわざ	ねつぼうそう	-	90	50	34	60	44	70
426	フワライド	ゴースト	ひこう	ゆうばく	かるわざ	ねつぼうそう	-	150	80	44	90	54	80
669	フラベベ	フェアリー	-	フラワーベール	きょうせい	-	-	44	38	39	61	79	42
670	フラエッテ	フェアリー	-	フラワーベール	きょうせい	-	-	54	45	47	75	98	52
671	フラージェス	フェアリー	-	フラワーベール	きょうせい	-	-	78	65	68	112	154	75
50	ディグダ	じめん	-	すながくれ	ありじごく	すなのちから	-	10	55	25	35	45	95
51	ダグトリオ	じめん	-	すながくれ	ありじごく	すなのちから	-	35	100	50	50	70	120
324	コータス	ほのお	-	しろいけむり	ひでり	シェルアーマー	-	70	85	140	85	70	20
322	ドンメル	ほのお	じめん	どんかん	たんじゅん	マイペース	-	60	60	40	65	45	35
323	バクーダ	ほのお	じめん	マグマのよろい	ハードロック	いかりのつぼ	-	70	100	70	105	75	40
436	ドーミラー	はがね	エスパー	ふゆう	たいねつ	ヘヴィメタル	-	57	24	86	24	86	23
437	ドータクン	はがね	エスパー	ふゆう	たいねつ	ヘヴィメタル	-	67	89	116	79	116	33
610	キバゴ	ドラゴン	-	とうそうしん	かたやぶり	きんちょうかん	-	46	87	60	30	40	57
611	オノンド	ドラゴン	-	とうそうしん	かたやぶり	きんちょうかん	-	66	117	70	40	50	67
612	オノノクス	ドラゴン	-	とうそうしん	かたやぶり	きんちょうかん	-	76	147	90	60	70	97
56	マンキー	かくとう	-	やるき	いかりのつぼ	まけんき	-	40	80	35	35	45	70
57	オコリザル	かくとう	-	やるき	いかりのつぼ	まけんき	-	65	105	60	60	70	95
979	コノヨザル	かくとう	ゴースト	やるき	せいしんりょく	まけんき	-	110	115	80	50	90	90
307	アサナン	かくとう	エスパー	ヨガパワー	テレパシー	-	-	30	40	55	40	55	60
308	チャーレム	かくとう	エスパー	ヨガパワー	テレパシー	-	-	60	60	75	60	75	80
447	リオル	かくとう	-	ふくつのこころ	せいしんりょく	いたずらごころ	-	40	70	40	35	40	60
448	ルカリオ	かくとう	はがね	ふくつのこころ	せいしんりょく	せいぎのこころ	-	70	110	70	115	70	90
935	カルボウ	ほのお	-	もらいび	ほのおのからだ	-	-	40	50	40	50	40	35
936	グレンアルマ	ほのお	エスパー	もらいび	くだけるよろい	-	-	85	60	100	125	80	75
937	ソウブレイズ	ほのお	ゴースト	もらいび	くだけるよろい	-	-	75	125	80	60	100	85
339	ドジョッチ	みず	じめん	どんかん	きけんよち	うるおいボディ	-	50	48	43	46	41	60
340	ナマズン	みず	じめん	どんかん	きけんよち	うるおいボディ	-	110	78	73	76	71	60
938	ズピカ	でんき	-	マイペース	せいでんき	しめりけ	-	61	31	41	59	35	45
939	ハラバリー	でんき	-	でんきにかえる	せいでんき	しめりけ	-	109	64	91	103	83	45
704	ヌメラ	ドラゴン	-	そうしょく	うるおいボディ	ぬめぬめ	-	45	50	35	55	75	40
705	ヌメイル	ドラゴン	-	そうしょく	うるおいボディ	ぬめぬめ	-	68	75	53	83	113	60
706	ヌメルゴン	ドラゴン	-	そうしょく	うるおいボディ	ぬめぬめ	-	90	100	70	110	150	80
453	グレッグル	どく	かくとう	きけんよち	かんそうはだ	どくしゅ	-	48	61	40	61	40	50
454	ドクロッグ	どく	かくとう	きけんよち	かんそうはだ	どくしゅ	-	83	106	65	86	65	85
940	カイデン	でんき	ひこう	ふうりょくでんき	ちくでん	かちき	-	40	40	35	55	40	70
941	タイカイデン	でんき	ひこう	ふうりょくでんき	ちくでん	かちき	-	70	70	60	105	60	125
133	イーブイ	ノーマル	-	にげあし	てきおうりょく	きけんよち	-	55	55	50	45	65	55
134	シャワーズ	みず	-	ちょすい	うるおいボディ	-	-	130	65	60	110	95	65
135	サンダース	でんき	-	ちくでん	はやあし	-	-	65	65	60	110	95	130
136	ブースター	ほのお	-	もらいび	こんじょう	-	-	65	130	60	95	110	65
196	エーフィ	エスパー	-	シンクロ	マジックミラー	-	-	65	65	60	130	95	110
197	ブラッキー	あく	-	シンクロ	せいしんりょく	-	-	95	65	110	60	130	65
470	リーフィア	くさ	-	リーフガード	ようりょくそ	-	-	65	110	130	60	65	95
471	グレイシア	こおり	-	ゆきがくれ	アイスボディ	-	-	65	60	110	130	95	65
700	ニンフィア	フェアリー	-	メロメロボディ	フェアリースキン	-	-	95	65	65	110	130	60
206	ノコッチ	ノーマル	-	てんのめぐみ	にげあし	びびり	-	100	70	70	65	65	45
982	ノココッチ	ノーマル	-	てんのめぐみ	にげあし	びびり	-	125	100	80	85	75	55
585	シキジカ	ノーマル	くさ	ようりょくそ	そうしょく	てんのめぐみ	-	60	60	50	40	50	75
586	メブキジカ	ノーマル	くさ	ようりょくそ	そうしょく	てんのめぐみ	-	80	100	70	60	70	95
203	キリンリキ	ノーマル	エスパー	せいしんりょく	はやおき	そうしょく	-	70	80	65	90	65	85
981	リキキリン	ノーマル	エスパー	はんすう	テイルアーマー	そうしょく	-	120	90	70	110	70	60
88	ベトベター	どく	-	あくしゅう	ねんちゃく	どくしゅ	-	80	80	50	40	50	25
89	ベトベトン	どく	-	あくしゅう	ねんちゃく	どくしゅ	-	105	105	75	65	100	50
942	オラチフ	あく	-	いかく	にげあし	はりこみ	-	60	78	60	40	51	51
943	マフィティフ	あく	-	いかく	ばんけん	はりこみ	-	80	120	90	60	70	85
848	エレズン	でんき	どく	びびり	せいでんき	ぶきよう	-	40	38	35	54	35	40
849	ストリンダー(ハイ)	でんき	どく	パンクロック	プラス	テクニシャン	-	75	98	70	114	70	75
849-1	ストリンダー(ロー)	でんき	どく	パンクロック	マイナス	テクニシャン	-	75	98	70	114	70	75
702	デデンネ	でんき	フェアリー	ほおぶくろ	ものひろい	プラス	-	67	58	57	81	67	101
417	パチリス	でんき	-	にげあし	ものひろい	ちくでん	-	60	45	70	45	90	95
944	シルシュルー	どく	ノーマル	かるわざ	わるいてぐせ	いたずらごころ	-	40	65	35	40	35	75
945	タギングル	どく	ノーマル	かるわざ	どくしゅ	いたずらごころ	-	63	95	65	80	72	110
234	オドシシ	ノーマル	-	いかく	おみとおし	そうしょく	-	73	95	62	85	65	85
590	タマゲタケ	くさ	どく	ほうし	さいせいりょく	-	-	69	55	45	55	55	15
591	モロバレル	くさ	どく	ほうし	さいせいりょく	-	-	114	85	70	85	80	30
100	ビリリダマ	でんき	-	ぼうおん	せいでんき	ゆうばく	-	40	30	50	55	55	100
101	マルマイン	でんき	-	ぼうおん	せいでんき	ゆうばく	-	60	50	70	80	80	150
81	コイル	でんき	はがね	じりょく	がんじょう	アナライズ	-	25	35	70	95	55	45
82	レアコイル	でんき	はがね	じりょく	がんじょう	アナライズ	-	50	60	95	120	70	70
462	ジバコイル	でんき	はがね	じりょく	がんじょう	アナライズ	-	70	70	115	130	90	60
132	メタモン	ノーマル	-	じゅうなん	かわりもの	-	-	48	48	48	48	48	48
58	ガーディ	ほのお	-	いかく	もらいび	せいぎのこころ	-	55	70	45	70	50	60
59	ウインディ	ほのお	-	いかく	もらいび	せいぎのこころ	-	90	110	80	100	80	95
216	ヒメグマ	ノーマル	-	ものひろい	はやあし	みつあつめ	-	60	80	50	50	50	40
217	リングマ	ノーマル	-	こんじょう	はやあし	きんちょうかん	-	90	130	75	75	75	55
335	ザングース	ノーマル	-	めんえき	どくぼうそう	-	-	73	115	60	60	60	90
336	ハブネーク	どく	-	だっぴ	すりぬけ	-	-	73	100	60	100	60	65
333	チルット	ノーマル	ひこう	しぜんかいふく	ノーてんき	-	-	45	40	60	40	75	50
334	チルタリス	ドラゴン	ひこう	しぜんかいふく	ノーてんき	-	-	75	70	90	70	105	80
672	メェークル	くさ	-	そうしょく	くさのけがわ	-	-	66	65	48	62	57	52
673	ゴーゴート	くさ	-	そうしょく	くさのけがわ	-	-	123	100	62	97	81	68
128-1	パルデアケンタロス(かくとう)	かくとう	-	いかく	いかりのつぼ	はんすう	-	75	110	105	30	70	100
128-3	パルデアケンタロス(みず)	かくとう	みず	いかく	いかりのつぼ	はんすう	-	75	110	105	30	70	100
128-2	パルデアケンタロス(ほのお)	かくとう	ほのお	いかく	いかりのつぼ	はんすう	-	75	110	105	30	70	100
667	シシコ	ほのお	ノーマル	とうそうしん	きんちょうかん	じしんかじょう	-	62	50	58	73	54	72
668	カエンジシ	ほのお	ノーマル	とうそうしん	きんちょうかん	じしんかじょう	-	86	68	72	109	66	106
434	スカンプー	どく	あく	あくしゅう	ゆうばく	するどいめ	-	63	63	47	41	41	74
435	スカタンク	どく	あく	あくしゅう	ゆうばく	するどいめ	-	103	93	67	71	61	84
570	ゾロア	あく	-	イリュージョン	-	-	-	40	65	40	80	40	65
570-1	ヒスイゾロア	ノーマル	ゴースト	イリュージョン	-	-	-	35	60	40	85	40	70
571	ゾロアーク	あく	-	イリュージョン	-	-	-	60	105	60	120	60	105
571-1	ヒスイゾロアーク	ノーマル	ゴースト	イリュージョン	-	-	-	55	100	60	125	60	110
215	ニューラ	あく	こおり	せいしんりょく	するどいめ	わるいてぐせ	-	55	95	55	35	75	115
461	マニューラ	あく	こおり	プレッシャー	わるいてぐせ	-	-	70	120	65	45	85	125
198	ヤミカラス	あく	ひこう	ふみん	きょううん	いたずらごころ	-	60	85	42	85	42	91
430	ドンカラス	あく	ひこう	ふみん	きょううん	じしんかじょう	-	100	125	52	105	52	71
574	ゴチム	エスパー	-	おみとおし	かちき	かげふみ	-	45	30	50	55	65	45
575	ゴチミル	エスパー	-	おみとおし	かちき	かげふみ	-	60	45	70	75	85	55
576	ゴチルゼル	エスパー	-	おみとおし	かちき	かげふみ	-	70	55	95	95	110	65
854	ヤバチャ	ゴースト	-	くだけるよろい	のろわれボディ	-	-	40	45	45	74	54	50
855	ポットデス	ゴースト	-	くだけるよろい	のろわれボディ	-	-	60	65	65	134	114	70
778	ミミッキュ	ゴースト	フェアリー	ばけのかわ	-	-	-	55	90	80	50	105	96
707	クレッフィ	はがね	フェアリー	いたずらごころ	マジシャン	-	-	57	80	91	80	87	75
876	イエッサン(オス)	エスパー	ノーマル	せいしんりょく	シンクロ	サイコメイカー	-	60	65	55	105	95	95
876-1	イエッサン(メス)	エスパー	ノーマル	マイペース	シンクロ	サイコメイカー	-	70	55	65	95	105	85
946	アノクサ	くさ	ゴースト	かぜのり	すりぬけ	-	-	40	65	30	45	35	60
947	アノホラグサ	くさ	ゴースト	かぜのり	すりぬけ	-	-	55	115	70	80	70	90
948	ノノクラゲ	じめん	くさ	きんしのちから	-	-	-	40	40	35	50	100	70
949	リククラゲ	じめん	くさ	きんしのちから	-	-	-	80	70	65	80	120	100
357	トロピウス	くさ	ひこう	ようりょくそ	サンパワー	しゅうかく	-	99	68	83	72	87	51
753	カリキリ	くさ	-	リーフガード	あまのじゃく	-	-	40	55	35	50	35	35
754	ラランテス	くさ	-	リーフガード	あまのじゃく	-	-	70	105	90	80	90	45
950	ガケガニ	いわ	-	いかりのこうら	シェルアーマー	さいせいりょく	-	70	100	115	35	55	75
951	カプサイジ	くさ	-	ようりょくそ	ふみん	ぶきよう	-	50	62	40	62	40	50
952	スコヴィラン	くさ	ほのお	ようりょくそ	ふみん	ムラっけ	-	65	108	65	108	65	75
331	サボネア	くさ	-	すながくれ	ちょすい	-	-	50	85	40	85	40	35
332	ノクタス	くさ	あく	すながくれ	ちょすい	-	-	70	115	60	115	60	55
953	シガロコ	むし	-	ふくがん	だっぴ	-	-	41	50	60	31	58	30
954	ベラカス	むし	エスパー	シンクロ	テレパシー	-	-	75	50	85	115	100	45
48	コンパン	むし	どく	ふくがん	いろめがね	にげあし	-	60	55	50	40	55	45
49	モルフォン	むし	どく	りんぷん	いろめがね	ミラクルスキン	-	70	65	60	90	75	90
204	クヌギダマ	むし	-	がんじょう	ぼうじん	-	-	50	65	90	35	35	15
205	フォレトス	むし	はがね	がんじょう	ぼうじん	-	-	75	90	140	60	60	40
123	ストライク	むし	ひこう	むしのしらせ	テクニシャン	ふくつのこころ	-	70	110	80	55	80	105
212	ハッサム	むし	はがね	むしのしらせ	テクニシャン	ライトメタル	-	70	130	100	55	80	65
214	ヘラクロス	むし	かくとう	むしのしらせ	こんじょう	じしんかじょう	-	80	125	75	40	95	85
955	ヒラヒナ	エスパー	-	きけんよち	おみとおし	かそく	-	30	35	30	55	30	75
956	クエスパトラ	エスパー	-	びんじょう	おみとおし	かそく	-	95	60	60	101	60	105
449	ヒポポタス	じめん	-	すなおこし	すなのちから	-	-	68	72	78	38	42	32
450	カバルドン	じめん	-	すなおこし	すなのちから	-	-	108	112	118	68	72	47
551	メグロコ	じめん	あく	いかく	じしんかじょう	いかりのつぼ	-	50	72	35	35	35	65
552	ワルビル	じめん	あく	いかく	じしんかじょう	いかりのつぼ	-	60	82	45	45	45	74
553	ワルビアル	じめん	あく	いかく	じしんかじょう	いかりのつぼ	-	95	117	80	65	70	92
843	スナヘビ	じめん	-	すなはき	だっぴ	すながくれ	-	52	57	75	35	50	46
844	サダイジャ	じめん	-	すなはき	だっぴ	すながくれ	-	72	107	125	65	70	71
749	ドロバンコ	じめん	-	マイペース	じきゅうりょく	せいしんりょく	-	70	100	70	45	55	45
750	バンバドロ	じめん	-	マイペース	じきゅうりょく	せいしんりょく	-	100	125	100	55	85	35
