Name	投げダメージ	強化タイプ	半減タイプ	威力補正	消耗品
くちたたて	0	-	-	1	0
こんごうだま	0	-	-	1.2	0
しらたま	0	-	-	1.2	0
だいこんごうだま	0	-	-	1.2	0
だいしらたま	0	-	-	1.2	0
だいはっきんだま	0	-	-	1.2	0
はっきんだま	0	-	-	1.2	0
オボンのみ	10	-	-	1	1
ラムのみ	10	-	-	1	1
クラボのみ	10	-	-	1	1
カゴのみ	10	-	-	1	1
モモンのみ	10	-	-	1	1
チーゴのみ	10	-	-	1	1
ナナシのみ	10	-	-	1	1
キーのみ	10	-	-	1	1
ヒメリのみ	10	-	-	1	1
オレンのみ	10	-	-	1	1
フィラのみ	10	-	-	1	1
ウイのみ	10	-	-	1	1
マゴのみ	10	-	-	1	1
バンジのみ	10	-	-	1	1
イアのみ	10	-	-	1	1
チイラのみ	10	-	-	1	1
リュガのみ	10	-	-	1	1
ヤタピのみ	10	-	-	1	1
ズアのみ	10	-	-	1	1
カムラのみ	10	-	-	1	1
スターのみ	10	-	-	1	1
サンのみ	10	-	-	1	1
ホズのみ	10	-	ノーマル	1	1
リンドのみ	10	-	くさ	1	1
オッカのみ	10	-	ほのお	1	1
イトケのみ	10	-	みず	1	1
ソクノのみ	10	-	でんき	1	1
カシブのみ	10	-	ゴースト	1	1
ヨロギのみ	10	-	いわ	1	1
タンガのみ	10	-	むし	1	1
ウタンのみ	10	-	エスパー	1	1
バコウのみ	10	-	ひこう	1	1
シュカのみ	10	-	じめん	1	1
ビアーのみ	10	-	どく	1	1
ヨプのみ	10	-	かくとう	1	1
ヤチェのみ	10	-	こおり	1	1
リリバのみ	10	-	はがね	1	1
ナモのみ	10	-	あく	1	1
ハバンのみ	10	-	ドラゴン	1	1
ロゼルのみ	10	-	フェアリー	1	1
アッキのみ	10	-	-	1	1
タラプのみ	10	-	-	1	1
イバンのみ	10	-	-	1	1
ジャポのみ	10	-	-	1	1
レンブのみ	10	-	-	1	1
ズアのみ	10	-	-	1	1
ナゾのみ	10	-	-	1	1
ミクルのみ	10	-	-	1	1
