Move	Object	Prob	A	B	C	D	S	Hit	Evasion	PSN	PAR	BRN	SLP	FLZ	Confusion	Flinch
シードフレア	1	0.4	0	0	0	-2	0	0	0	0	0	0	0	0	0	0
シャドーボール	1	0.2	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
だいちのちから	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
むしのさざめき	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
ようかいえき	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
ラスターカノン	1	0.1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
ラスターパージ	1	0.5	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
アシッドボム	1	1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0
りんごさん	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
ルミナコリジョン	1	1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0
あわ	1	0.1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
エレキネット	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
からみつく	1	0.1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
がんせきふうじ	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
こがらしあらし	1	0.3	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
こごえるかぜ	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
こごえるせかい	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
じならし	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
とびつく	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
ドラムアタック	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
バブルこうせん	1	0.1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
マッドショット	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
ローキック	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
オクタンほう	1	0.5	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
グラスミキサー	1	0.5	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
だくりゅう	1	0.3	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
どろかけ	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
どろばくだん	1	0.3	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
ナイトバースト	1	0.4	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
ミラーショット	1	0.3	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
メタルクロー	0	0.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
コメットパンチ	0	0.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
グロウパンチ	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
はがねのつばさ	0	0.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ダイヤストーム	0	0.5	0	2	0	0	0	0	0	0	0	0	0	0	0	0
バリアーラッシュ	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ほのおのまい	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
チャージビーム	0	0.7	0	0	1	0	0	0	0	0	0	0	0	0	0	0
しんぴのちから	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
フレアソング	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
アクアステップ	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
オーラウイング	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
オーラぐるま	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
くさわけ	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
こうそくスピン	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ニトロチャージ	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
あやしいかぜ	0	0.1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
げんしのちから	0	0.1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
ぎんいろのかぜ	0	0.1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
キラースピン	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
クロスポイズン	1	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
シェルアームズ	1	0.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
スモッグ	1	0.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ダストシュート	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ダブルニードル	1	0.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
どくづき	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
どくばり	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
どくばりセンボン	1	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ヘドロウェーブ	1	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ヘドロこうげき	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ヘドロばくだん	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ポイズンアクセル	1	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ポイズンテール	1	0.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
どくどくのキバ	1	0.5	0	0	0	0	0	0	0	2	0	0	0	0	0	0
トライアタック	1	0.2	0	0	0	0	0	0	0	0	1	1	0	1	0	0
いてつくしせん	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
こおりのキバ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
こなゆき	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ダークフリーズ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ふぶき	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
フリーズドライ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
れいとうパンチ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
れいとうビーム	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
いにしえのうた	1	0.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
フェイタルクロー	1	0.5	0	0	0	0	0	0	0	1	1	0	1	0	0	0
かえんぐるま	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
かえんだん	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
かえんほうしゃ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
かえんボール	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
コールドフレア	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
シャカシャカほう	1	0.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
スチームバースト	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
せいなるほのお	1	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ダークファイア	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
だいもんじ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ねっさのあらし	1	0.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ねっさのだいち	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ねっとう	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ねっぷう	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
バーンアクセル	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ひのこ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ひゃっきやこう	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
フレアドライブ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ブレイズキック	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ふんえん	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ほのおのキバ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ほのおのパンチ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
れんごく	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
おしゃべり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
かかとおとし	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
サイケこうせん	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
シグナルビーム	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ねんりき	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ばくれつパンチ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ぼうふう	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ピヨピヨパンチ	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
マジカルアクセル	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
みずのはどう	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ロッククライム	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ワンダースチーム	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3ぼんのや	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
アイアンヘッド	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
あくのはどう	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
いびき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
いわなだれ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
エアスラッシュ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
おどろかす	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
かみつく	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
かみなりのキバ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
こおりのキバ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ゴッドバード	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
しねんのずつき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
じんつうりき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ずつき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
たきのぼり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
たつまき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
ダブルパンツァー	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
つららおとし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
ドラゴンダイブ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
ニードルアーム	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
ねこだまし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ハートスタンプ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
ハードローラー	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
はやてがえし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ひっさつまえば	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ひょうざんおろし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
びりびりちくちく	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
ふみつけ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
ふわふわフォール	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
ホネこんぼう	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ほのおのキバ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
まわしげり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
もえあがるいかり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
ばかぢから	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
いじげんラッシュ	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
スケイルノイズ	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
ゴールドラッシュ	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
オーバーヒート	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0
サイコブースト	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0
リーフストーム	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0
りゅうせいぐん	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0
フルールカノン	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
アームハンマー	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
アイスハンマー	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
ホイールスピン	0	1	0	0	0	0	-2	0	0	0	0	0	0	0	0	0
アーマーキャノン	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0
インファイト	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0
ぶちかまし	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0
ガリョウテンセイ	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0
Vジェネレート	0	1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0
