Name	Weight
エンテイ	198
スイクン	187
ルギア	216
ホウオウ	199
キモリ	5
ジュプトル	21.6
ジュカイン	52.2
アチャモ	2.5
ワカシャモ	19.5
バシャーモ	52
ミズゴロウ	7.6
ヌマクロー	28
ラグラージ	81.9
ポチエナ	13.6
グラエナ	37
ハスボー	2.6
ハスブレロ	32.5
ルンパッパ	55
タネボー	4
コノハナ	28
ダーテング	59.6
ノズパス	97
プラスル	4.2
マイナン	4.2
バルビート	17.7
イルミーゼ	17.7
ナックラー	15
ビブラーバ	15.3
フライゴン	82
ヘイガニ	11.5
シザリガー	32.8
ヒンバス	7.4
ミロカロス	162
ヨマワル	15
サマヨール	30.6
チリーン	1
ダンバル	95.2
メタング	202.5
メタグロス	550
レジロック	230
レジアイス	175
レジスチル	205
ラティアス	40
ラティオス	60
カイオーガ	352
グラードン	950
レックウザ	206.5
ジラーチ	1.1
デオキシス(ノーマル)	60.8
デオキシス(アタック)	60.8
デオキシス(ディフェンス)	60.8
デオキシス(スピード)	60.8
ナエトル	10.2
ハヤシガメ	97
ドダイトス	310
ヒコザル	6.2
モウカザル	22
ゴウカザル	55
ポッチャマ	5.2
ポッタイシ	23
エンペルト	84.5
ズガイドス	31.5
ラムパルド	102.5
タテトプス	57
トリデプス	149.5
エテボース	20.3
リーシャン	0.6
ゴンベ	105
ドサイドン	282.8
エレキブル	138.6
ブーバーン	68
メガヤンマ	51.5
グライオン	42.5
マンムー	291
ポリゴンＺ	34
ダイノーズ	340
ヨノワール	106.6
ユクシー	0.3
エムリット	0.3
アグノム	0.3
ディアルガ	683
ディアルガ(オリジン)	850
パルキア	336
パルキア(オリジン)	660
ヒードラン	430
レジギガス	420
ギラティナ(アナザー)	750
ギラティナ(オリジン)	650
クレセリア	85.6
フィオネ	3.1
マナフィ	1.4
ダークライ	50.5
シェイミ(ランド)	2.1
シェイミ(スカイ)	5.2
アルセウス	320
ツタージャ	8.1
ジャノビー	16
ジャローダ	63
ポカブ	9.9
チャオブー	55.5
エンブオー	150
ミジュマル	5.9
フタチマル	24.5
ダイケンキ	94.6
ヒスイダイケンキ	58.2
シママ	29.8
ゼブライカ	79.5
モグリュー	8.5
ドリュウズ	40.4
ドッコラー	12.5
ドテッコツ	40
ローブシン	87
クルミル	2.5
クルマユ	7.3
ハハコモリ	20.5
モンメン	0.6
エルフーン	6.6
ヒスイドレディア	19.2
ズルッグ	11.8
ズルズキン	30
チラーミィ	5.8
チラチーノ	7.5
ユニラン	1
ダブラン	8
ランクルス	20.1
コアルヒー	5.5
スワンナ	24.2
バチュル	0.6
デンチュラ	14.3
ヒトモシ	3.1
ランプラー	13
シャンデラ	34.3
コジョフー	20
コジョンド	35.5
ゴビット	92
ゴルーグ	330
ヒスイウォーグル	43.4
バルチャイ	9
バルジーナ	39.5
コバルオン	250
テラキオン	260
ビリジオン	200
トルネロス(けしん)	63
トルネロス(れいじゅう)	63
ボルトロス(けしん)	61
ボルトロス(れいじゅう)	61
レシラム	330
ゼクロム	345
ランドロス(けしん)	68
ランドロス(れいじゅう)	68
キュレム	325
ホワイトキュレム	325
ブラックキュレム	325
ケルディオ	48.5
ケルディオ(かくご)	48.5
メロエッタ(ボイス)	6.5
メロエッタ(ステップ)	6.5
ハリマロン	9
ハリボーグ	29
ブリガロン	90
フォッコ	9.4
テールナー	14.5
マフォクシー	39
ケロマツ	7
ゲコガシラ	10.9
ゲッコウガ	40
ニャスパー	3.5
ニャオニクス(オス)	8.5
ニャオニクス(メス)	8.5
マーイーカ	3.5
カラマネロ	47
メレシー	5.7
ヒスイヌメイル	68.5
ヒスイヌメルゴン	334.1
ボクレー	7
オーロット	71
ヒスイクレベース	262.4
ディアンシー	8.8
フーパ(いましめられし)	9
フーパ(ときはなたれし)	490
ボルケニオン	195
モクロー	1.5
フクスロー	16
ジュナイパー	36.6
ヒスイジュナイパー	37
ニャビー	4.3
ニャヒート	25
ガオガエン	83
アシマリ	7.5
オシャマリ	17.5
アシレーヌ	44
ツツケラ	1.2
ケララッパ	14.8
ドデカバシ	26
アゴジムシ	4.4
デンヂムシ	10.5
クワガノン	45
アブリー	0.2
アブリボン	0.5
シズクモ	4
オニシズクモ	82
キュワワー	0.3
メテノ(りゅうせい)	40
メテノ(コア)	0.3
ジャラコ	29.7
ジャランゴ	47
ジャラランガ	78.2
コスモッグ	0.1
コスモウム	999.9
ソルガレオ	230
ルナアーラ	120
ネクロズマ	230
ネクロズマ(たそがれ)	460
ネクロズマ(あかつき)	350
マギアナ	80.5
マギアナ(500年前)	80.5
サルノリ	5
バチンキー	14
ゴリランダー	90
ヒバニー	4.5
ラビフット	9
エースバーン	33
メッソン	4
ジメレオン	11.5
インテレオン	45.2
ウッウ	18
ニャイキング	28
マホミル	0.3
マホイップ	0.5
モルペコ(まんぷく)	3
モルペコ(はらぺこ)	3
ジュラルドン	40
ザシアン(れきせん)	355
ザシアン(けんのおう)	110
ザマゼンタ(れきせん)	785
ザマゼンタ(たてのおう)	210
ムゲンダイナ	950
ダクマ	12
ウーラオス(れんげき)	105
ウーラオス(いちげき)	105
ザルード	70
ザルード(オコヤのもり)	70
レジエレキ	145
レジドラゴ	200
ブリザポス	800
レイスポス	44.5
バドレックス	7.7
バドレックス(こくば)	53.6
バドレックス(はくば)	809.1
アヤシシ	95.1
バサギリ	89
ガチグマ	290
イダイトウ(オス)	110
イダイトウ(メス)	110
オオニューラ	43
ハリーマン	60.5
ラブトロス(けしん)	48
ラブトロス(れいじゅう)	48
ウネルミナモ	280
テツノイサハ	125
カミッチュ	4.4
チャデス	1.1
ヤバソチャ	2.2
ガチグマ(アカツキ)	333
イイネイヌ	92
マシマシラ	12.2
キチキギス	30.1
オーガポン	39.8
オーガポン(かまど)	39.8
オーガポン(いど)	39.8
オーガポン(いしずえ)	39.8
ブリジュラス	60
テラパゴス(ノーマル)	6.5
テラパゴス(テラスタル)	16
テラパゴス(ステラ)	77
カミツオロチ	93
タケルライコ	480
テツノカシラ	156
ウガツホムラ	590
テツノイワオ	162.5
モモワロウ	0.3
